YEAR,MONTH,DAY,PRCP,SNOW,SNWD,TMAX,TMIN,ADPT,AWBT,AWND,EVAP,FMTM,FRGB,FRGT,FRTH,RHAV,RHMN,RHMX,TAVG
1998,10,12,0,,,233,17,,,26,,1401,,,,,,,128
1998,10,13,3,,,161,28,,,23,,1342,,,,,,,94
1998,10,14,0,,,139,-17,,,21,,2003,,,,,,,61
1998,10,15,5,,,111,-22,,,31,,1717,,,,,,,44
1998,10,16,0,,,117,-56,,,18,,1600,,,,,,,33
1998,10,17,0,,,161,-78,,,10,,1014,,,,,,,44
1998,10,18,0,,,189,-56,,,17,,1627,,,,,,,67
1998,10,19,0,,,183,-50,,,26,,1446,,,,,,,67
1998,10,20,0,,,206,-22,,,26,,1204,,,,,,,94
1998,10,21,0,,,217,-56,,,11,,1614,,,,,,,83
1998,10,22,0,,,206,-28,,,16,,1406,,,,,,,89
1998,10,23,0,,,211,-44,,,25,,1201,,,,,,,83
1998,10,24,30,,0,133,17,,,27,,908,,,,,,,78
1998,10,25,0,,,133,28,,,42,,1328,,,,,,,83
1998,10,26,0,,,183,-17,,,16,,1422,,,,,,,83
1998,10,27,0,,,167,-50,,,25,,1326,,,,,,,61
1998,10,28,36,,,94,6,,,17,,112,,,,,,,50
1998,10,29,0,,,117,-22,,,22,,1517,,,,,,,50
1998,10,30,0,,,117,-72,,,8,,2006,,,,,,,22
1998,11,1,0,,,94,-28,,,23,,1510,,,,,,,33
1998,11,2,0,,,111,-67,,,3,,2028,,,,,,,22
1998,11,3,20,,,83,-39,,,11,,1723,,,,,,,22
1998,11,4,0,,,100,-33,,,11,,1558,,,,,,,33
1998,11,5,5,,,67,-44,,,23,,1148,,,,,,,11
1998,11,6,20,,,33,-72,,,19,,1515,,,,,,,-17
1998,11,7,114,,,28,-56,,,18,,708,,,,,,,-11
1998,11,8,3,,,39,-56,,,14,,1543,,,,,,,-6
1998,11,9,0,,,33,-33,,,12,,1559,,,,,,,0
1998,11,10,132,,,22,-22,,,22,,940,,,,,,,0
1998,11,11,0,,,6,-44,,,5,,2235,,,,,,,-17
1998,11,12,0,,,56,-100,,,10,,118,,,,,,,-22
1998,11,13,0,,,106,-39,,,4,,406,,,,,,,33
1998,11,14,0,,,156,-56,,,19,,1303,,,,,,,50
1998,11,15,0,,,106,-33,,,23,,625,,,,,,,39
1998,11,16,5,,,78,-44,,,12,,2320,,,,,,,17
1998,11,17,41,,,44,-17,,,30,,1030,,,,,,,17
1998,11,18,0,,,67,-56,,,10,,1528,,,,,,,6
1998,11,19,0,,,94,-83,,,15,,1346,,,,,,,6
1998,11,20,10,,,83,-17,,,35,,2049,,,,,,,33
1998,11,21,130,,,83,0,,,43,,1104,,,,,,,44
1998,11,22,38,,,83,11,,,33,,1833,,,,,,,50
1998,11,23,135,,,94,6,,,89,,1123,,,,,,,50
1998,11,24,15,,,44,0,,,41,,225,,,,,,,22
1998,11,25,0,,,111,17,,,64,,2044,,,,,,,67
1998,11,26,69,,,111,28,,,68,,648,,,,,,,72
1998,11,27,81,,,39,6,,,10,,610,,,,,,,22
1998,11,28,13,,,39,0,,,21,,1400,,,,,,,22
1998,11,29,46,,,39,0,,,36,,410,,,,,,,22
1998,11,30,36,,,117,-17,,,66,,1126,,,,,,,50
1998,12,1,8,,,50,0,,,33,,1201,,,,,,,28
1998,12,2,3,,,89,22,,,49,,1518,,,,,,,56
1998,12,3,150,,,78,-61,,,20,,104,,,,,,,11
1998,12,4,0,,,-50,-150,,,4,,640,,,,,,,-100
1998,12,5,13,,,-28,-183,,,19,,1536,,,,,,,-106
1998,12,6,0,,,-28,-161,,,13,,1042,,,,,,,-94
1998,12,7,0,,,-17,-183,,,20,,1948,,,,,,,-100
1998,12,8,0,,0,6,-150,,,17,,1400,,,,,,,-72
1998,12,9,0,,,-56,-167,,,3,,2006,,,,,,,-111
1998,12,10,0,,,39,-111,,,14,,507,,,,,,,-33
1998,12,11,0,,,11,-100,,,8,,1437,,,,,,,-44
1998,12,12,0,,,72,-56,,,9,,2301,,,,,,,11
1998,12,13,0,,,100,-17,,,39,,1457,,,,,,,44
1998,12,14,0,,,61,-39,,,13,,1034,,,,,,,11
1998,12,15,0,,,83,-56,,,9,,722,,,,,,,17
1998,12,16,0,,,122,-61,,,4,,1802,,,,,,,33
1998,12,17,0,,,111,-61,,,9,,2111,,,,,,,28
1998,12,18,0,,,28,-94,,,16,,1903,,,,,,,-33
1998,12,19,0,,,-33,-111,,,28,,314,,,,,,,-72
1998,12,20,0,,,-67,-211,,,53,,1218,,,,,,,-139
1998,12,21,0,,,-89,-250,,,4,,1947,,,,,,,-167
1998,12,22,0,,,-67,-211,,,5,,2017,,,,,,,-139
1998,12,23,0,,,-17,-206,,,10,,345,,,,,,,-111
1998,12,24,0,,,-11,-128,,,5,,2324,,,,,,,-67
1998,12,25,10,,,39,-22,,,14,,1134,,,,,,,11
1998,12,26,0,,,78,-33,,,15,,1300,,,,,,,22
1998,12,27,0,,,72,-33,,,27,,1725,,,,,,,22
1998,12,28,0,,,67,11,,,18,,16,,,,,,,39
1998,12,29,0,,,128,-50,,,4,,1833,,,,,,,39
1998,12,30,0,,,72,-50,,,4,,1807,,,,,,,11
1998,12,31,0,,,50,-44,,,24,,1126,,,,,,,6
1999,1,1,0,,,56,-72,,,7,,1928,,,,,,,-6
1999,1,2,0,,,78,-89,,,8,,2219,,,,,,,-6
1999,1,3,0,,,94,-111,,,16,,2216,,,,,,,-6
1999,1,4,0,,,72,-100,,,0,,2210,,,,,,,-11
1999,1,5,0,,,122,-78,,,7,,1811,,,,,,,22
1999,1,6,0,,,117,-83,,,5,,1611,,,,,,,17
1999,1,7,0,,,61,-94,,,11,,1543,,,,,,,-17
1999,1,8,0,,,61,-111,,,7,,2336,,,,,,,-22
1999,1,9,0,,,111,-106,,,4,,1905,,,,,,,6
1999,1,10,0,,,128,-94,,,2,,1944,,,,,,,17
1999,1,11,0,,,100,-67,,,25,,1519,,,,,,,17
1999,1,12,0,,,50,-6,,,13,,2221,,,,,,,22
1999,1,13,0,,,111,-50,,,15,,2121,,,,,,,33
1999,1,14,10,,,61,-17,,,14,,2348,,,,,,,22
1999,1,15,23,,,89,11,,,34,,1419,,,,,,,50
1999,1,16,3,,,67,11,,,52,,1303,,,,,,,39
1999,1,17,43,,,94,0,,,51,,1923,,,,,,,50
1999,1,18,5,,,67,6,,,41,,504,,,,,,,39
1999,1,19,8,,,89,6,,,49,,1310,,,,,,,50
1999,1,20,15,,,50,6,,,42,,1644,,,,,,,28
1999,1,21,0,,,33,-28,,,41,,1158,,,,,,,6
1999,1,22,81,,,44,-11,,,33,,1732,,,,,,,17
1999,1,23,147,,,11,-56,,,9,,,,,,,,,-22
1999,1,24,3,,,-6,-172,,,23,,2317,,,,,,,-89
1999,1,25,0,,,-11,-167,,,14,,2147,,,,,,,-89
1999,1,26,41,,,0,-33,,,18,,2336,,,,,,,-17
1999,1,27,3,,,-22,-133,,,15,,200,,,,,,,-78
1999,1,28,0,,,22,-144,,,6,,1821,,,,,,,-61
1999,1,29,0,,,61,-172,,,17,,2217,,,,,,,-56
1999,1,30,0,,,72,-44,,,46,,1839,,,,,,,17
1999,1,31,3,,,17,-94,,,17,,2008,,,,,,,-39
1999,2,1,0,,,-6,-161,,,4,,2024,,,,,,,-83
1999,2,2,0,,,56,-106,,,6,,2158,,,,,,,-22
1999,2,3,0,,,61,-94,,,12,,2343,,,,,,,-17
1999,2,4,13,,,44,-100,,,26,,10,,,,,,,-28
1999,2,5,0,,,50,-122,,,30,,2027,,,,,,,-33
1999,2,6,23,,0,44,-11,,,83,,1908,,,,,,,17
1999,2,7,61,,,67,-11,,,61,,1205,,,,,,,28
1999,2,8,48,,,83,-11,,,34,,1342,,,,,,,39
1999,2,9,208,,,22,-128,,,37,,811,,,,,,,-50
1999,2,10,0,,,-28,-144,,,11,,,,,,,,,-83
1999,2,11,0,,,6,-161,,,23,,,,,,,,,-78
1999,2,12,0,,,50,-61,,,21,,1200,,,,,,,-6
1999,2,13,18,,,61,-67,,,14,,1722,,,,,,,0
1999,2,14,0,,,44,-78,,,13,,38,,,,,,,-17
1999,2,15,0,,,72,-100,,,17,,2129,,,,,,,-11
1999,2,16,8,,,39,-6,,,31,,1405,,,,,,,17
1999,2,17,13,,,61,-11,,,44,,343,,,,,,,28
1999,2,18,41,,,56,-6,,,63,,917,,,,,,,28
1999,2,19,0,,,50,-61,,,13,,209,,,,,,,-6
1999,2,20,3,,,67,-56,,,46,,1012,,,,,,,6
1999,2,21,13,,,17,-22,,,46,,1137,,,,,,,0
1999,2,22,8,,,44,-11,,,40,,1339,,,,,,,17
1999,2,23,0,,,94,11,,,40,,1550,,,,,,,56
1999,2,24,0,,,128,22,,,70,,1927,,,,,,,78
1999,2,25,43,,,44,-39,,,42,,310,,,,,,,6
1999,2,26,3,,,22,-83,,,8,,1241,,,,,,,-28
1999,2,27,0,,,106,0,,,45,,1647,,,,,,,56
1999,2,28,23,,,111,39,,,46,,1340,,,,,,,78
1999,3,1,0,,,89,-33,,,23,,1507,,,,,,,28
1999,3,2,25,,,139,-44,,,55,,2116,,,,,,,50
1999,3,3,3,,,56,-22,,,44,,135,,,,,,,17
1999,3,4,5,,,28,-67,,,25,,1033,,,,,,,-17
1999,3,5,0,,,61,-44,,,15,,1640,,,,,,,11
1999,3,6,8,,,39,-39,,,21,,1748,,,,,,,0
1999,3,7,0,,,50,-83,,,11,,1610,,,,,,,-17
1999,3,8,0,,,33,-22,,,67,,1303,,,,,,,6
1999,3,9,46,,,11,-44,,,29,,1443,,,,,,,-17
1999,3,10,0,,,44,-61,,,13,,1159,,,,,,,-6
1999,3,11,0,,,61,-78,,,10,,1530,,,,,,,-6
1999,3,12,3,,,111,-78,,,17,,1050,,,,,,,17
1999,3,13,0,,,150,11,,,34,,1523,,,,,,,83
1999,3,14,0,,,133,-22,,,28,,1137,,,,,,,56
1999,3,15,0,,,156,-39,,,21,,1624,,,,,,,61
1999,3,16,0,,,122,-56,,,10,,1411,,,,,,,33
1999,3,17,0,,,150,-50,,,12,,1437,,,,,,,50
1999,3,18,0,,,172,-28,,,21,,1402,,,,,,,72
1999,3,19,0,,,178,-11,,,22,,1419,,,,,,,83
1999,3,20,10,,,100,-6,,,34,,838,,,,,,,50
1999,3,21,0,,,83,-28,,,26,,1547,,,,,,,28
1999,3,22,0,,,133,-56,,,39,,1338,,,,,,,39
1999,3,23,0,,,111,-56,,,30,,1707,,,,,,,28
1999,3,24,0,,,111,0,,,46,,1818,,,,,,,56
1999,3,25,5,,,133,-6,,,31,,1535,,,,,,,67
1999,3,26,10,,,122,-11,,,46,,2138,,,,,,,56
1999,3,27,0,,,78,-61,,,25,,1650,,,,,,,11
1999,3,28,0,,,100,-83,,,38,,1409,,,,,,,11
1999,3,29,23,,,122,-17,,,68,,1201,,,,,,,56
1999,3,30,0,,,61,-61,,,51,,1849,,,,,,,0
1999,3,31,30,,,28,-94,,,40,,1444,,,,,,,-33
1999,4,1,0,,,72,-33,,,59,,1757,,,,,,,22
1999,4,2,0,,,89,-44,,,46,,2059,,,,,,,22
1999,4,3,0,,,28,-39,,,57,,1527,,,,,,,-6
1999,4,4,3,,,61,-83,,,25,,2245,,,,,,,-11
1999,4,5,25,,,50,-28,,,30,,946,,,,,,,11
1999,4,6,3,,,89,-72,,,28,,1436,,,,,,,11
1999,4,7,0,,,128,-56,,,35,,1729,,,,,,,39
1999,4,8,10,,,33,-44,,,60,,809,,,,,,,-6
1999,4,9,0,,,28,-61,,,39,,1417,,,,,,,-17
1999,4,10,3,,,72,-28,,,41,,1657,,,,,,,22
1999,4,11,0,,,144,0,,,24,,1333,,,,,,,72
1999,4,12,0,,,183,-67,,,19,,2012,,,,,,,61
1999,4,13,0,,,172,-22,,,26,,1516,,,,,,,78
1999,4,14,0,,,172,-22,,,31,,1515,,,,,,,78
1999,4,15,0,,,211,-56,,,16,,1716,,,,,,,78
1999,4,16,0,,,228,-50,,,28,,1222,,,,,,,89
1999,4,17,0,,,233,22,,,20,,1744,,,,,,,128
1999,4,18,0,,,211,-6,,,25,,1650,,,,,,,106
1999,4,19,15,,,194,50,,,28,,1543,,,,,,,122
1999,4,20,0,,,161,56,,,34,,1642,,,,,,,111
1999,4,21,0,,,78,22,,,34,,822,,,,,,,50
1999,4,22,3,,,100,6,,,74,,1649,,,,,,,56
1999,4,23,0,,,178,33,,,65,,2135,,,,,,,106
1999,4,24,0,,,200,22,,,30,,1332,,,,,,,111
1999,4,25,0,,,211,-22,,,36,,1646,,,,,,,94
1999,4,26,8,,,156,33,,,47,,1139,,,,,,,94
1999,4,27,0,,,94,-6,,,46,,1521,,,,,,,44
1999,4,28,3,,,89,-11,,,73,,1824,,,,,,,39
1999,4,29,0,,,144,22,,,68,,824,,,,,,,83
1999,4,30,0,,,194,6,,,28,,1941,,,,,,,100
1999,5,1,41,,,183,17,,,38,,1702,,,,,,,100
1999,5,2,48,,,61,11,,,46,,1606,,,,,,,39
1999,5,3,43,,,83,6,,,61,,1131,,,,,,,44
1999,5,4,0,,,106,-22,,,37,,1631,,,,,,,44
1999,5,5,0,,,183,-50,,,13,,1408,,,,,,,67
1999,5,6,0,,,239,0,,,46,,1425,,,,,,,122
1999,5,7,0,,,139,-22,,,30,,1749,,,,,,,61
1999,5,8,0,,,117,-39,,,44,,2029,,,,,,,39
1999,5,9,0,,,111,-44,,,36,,1647,,,,,,,33
1999,5,10,0,,,106,-33,,,15,,1746,,,,,,,39
1999,5,11,0,,,178,39,,,28,,1815,,,,,,,111
1999,5,12,0,,,178,11,,,34,,1708,,,,,,,94
1999,5,13,0,,,94,-33,,,36,,1150,,,,,,,33
1999,5,14,0,,,83,-39,,,26,,1624,,,,,,,22
1999,5,15,0,,,122,-33,,,18,,1639,,,,,,,44
1999,5,16,0,,,183,-72,,,28,,1540,,,,,,,56
1999,5,17,0,,,222,17,,,38,,1549,,,,,,,122
1999,5,18,0,,,211,11,,,38,,1642,,,,,,,111
1999,5,19,0,,,222,-6,,,22,,1732,,,,,,,111
1999,5,20,0,,,217,33,,,27,,1657,,,,,,,128
1999,5,21,0,,,228,0,,,34,,1839,,,,,,,117
1999,5,22,0,,,244,44,,,46,,1350,,,,,,,144
1999,5,23,0,,,294,22,,,18,,1739,,,,,,,161
1999,5,24,0,,,306,44,,,29,,2049,,,,,,,178
1999,5,25,0,,,283,67,,,25,,2003,,,,,,,178
1999,5,26,0,,,283,56,,,17,,1434,,,,,,,172
1999,5,27,0,,,289,50,,,22,,1450,,,,,,,172
1999,5,28,0,,,278,50,,,36,,1633,,,,,,,167
1999,5,29,0,,,222,61,,,34,,1013,,,,,,,144
1999,5,30,0,,,200,28,,,38,,1331,,,,,,,117
1999,5,31,0,,,256,17,,,29,,2045,,,,,,,139
1999,6,1,5,,,189,22,,,39,,1305,,,,,,,106
1999,6,2,30,,,106,17,,,34,,120,,,,,,,61
1999,6,3,132,,,83,22,,,26,,1021,,,,,,,56
1999,6,4,3,,,206,44,,,34,,2127,,,,,,,128
1999,6,5,41,,,211,72,,,34,,1304,,,,,,,144
1999,6,6,0,,,167,39,,,34,,1509,,,,,,,106
1999,6,7,3,,0,167,6,,,25,,1808,,,,,,,89
1999,6,8,0,,,167,-6,,,25,,1611,,,,,,,83
1999,6,9,0,,,200,-11,,,19,,1542,,,,,,,94
1999,6,10,0,,,217,6,,,18,,1444,,,,,,,111
1999,6,11,0,,,261,11,,,22,,1843,,,,,,,139
1999,6,12,0,,,283,39,,,25,,1735,,,,,,,161
1999,6,13,0,,,283,83,,,20,,1813,,,,,,,183
1999,6,14,0,,,317,44,,,23,,1827,,,,,,,183
1999,6,15,0,,,289,44,,,28,,1902,,,,,,,167
1999,6,16,0,,,278,50,,,18,,1708,,,,,,,167
1999,6,17,0,,,294,61,,,26,,1717,,,,,,,178
1999,6,18,0,,,278,56,,,38,,1701,,,,,,,167
1999,6,19,0,,,289,44,,,26,,1713,,,,,,,167
1999,6,20,0,,,289,56,,,30,,1605,,,,,,,172
1999,6,21,0,,,256,128,,,31,,1944,,,,,,,194
1999,6,22,0,,,272,67,,,33,,1341,,,,,,,172
1999,6,23,0,,,311,56,,,22,,1636,,,,,,,183
1999,6,24,0,,,272,94,,,62,,1626,,,,,,,183
1999,6,25,0,,,228,28,,,25,,1730,,,,,,,128
1999,6,26,0,,,244,22,,,31,,1622,,,,,,,133
1999,6,27,0,,,261,22,,,17,,1816,,,,,,,144
1999,6,28,0,,,283,56,,,27,,1648,,,,,,,172
1999,6,29,0,,,306,72,,,25,,1842,,,,,,,189
1999,6,30,0,,,306,89,,,29,,1624,,,,,,,200
1999,7,1,0,,,289,56,,,29,,1804,,,,,,,172
1999,7,2,0,,,256,33,,,34,,1538,,,,,,,144
1999,7,3,0,,,217,50,,,51,,1606,,,,,,,133
1999,7,4,0,,,222,44,,,24,,1535,,,,,,,133
1999,7,5,0,,,306,17,,,25,,1350,,,,,,,161
1999,7,6,0,,,339,33,,,30,,1550,,,,,,,189
1999,7,7,0,,,250,67,,,27,,1550,,,,,,,161
1999,7,8,0,,,311,50,,,18,,2106,,,,,,,183
1999,7,9,0,,,339,44,,,20,,1747,,,,,,,194
1999,7,10,0,,,356,61,,,20,,1608,,,,,,,211
1999,7,11,0,,,367,83,,,16,,2346,,,,,,,228
1999,7,12,0,,,378,106,,,19,,1815,,,,,,,244
1999,7,13,0,,0,378,122,,,25,,2013,,,,,,,250
1999,7,14,0,,,306,128,,,40,,1847,,,,,,,217
1999,7,15,0,,,294,39,,,28,,1734,,,,,,,167
1999,7,16,0,,,278,94,,,44,,1633,,,,,,,189
1999,7,17,0,,,267,56,,,34,,1336,,,,,,,161
1999,7,18,0,,,289,28,,,24,,1224,,,,,,,161
1999,7,19,0,,,289,67,,,25,,1806,,,,,,,178
1999,7,20,0,,,267,72,,,33,,1645,,,,,,,172
1999,7,21,0,,,261,22,,,24,,1838,,,,,,,144
1999,7,22,0,,,306,22,,,21,,1835,,,,,,,167
1999,7,23,0,,,294,22,,,29,,1734,,,,,,,161
1999,7,24,0,,,261,100,,,25,,1513,,,,,,,183
1999,7,25,0,,,311,56,,,16,,1338,,,,,,,183
1999,7,26,0,,,333,56,,,29,,1729,,,,,,,194
1999,7,27,0,,,328,50,,,25,,1713,,,,,,,189
1999,7,28,0,,,333,61,,,26,,1649,,,,,,,200
1999,7,29,0,,,300,78,,,26,,1811,,,,,,,189
1999,7,30,0,,,300,28,,,25,,1421,,,,,,,167
1999,7,31,0,,,311,56,,,23,,1739,,,,,,,183
1999,8,1,0,,,306,83,,,29,,1746,,,,,,,194
1999,8,2,0,,,317,56,,,24,,1824,,,,,,,189
1999,8,3,0,,,322,61,,,24,,1836,,,,,,,194
1999,8,4,15,,,311,78,,,20,,1832,,,,,,,194
1999,8,5,5,,,294,94,,,22,,1624,,,,,,,194
1999,8,6,104,,,178,56,,,24,,1404,,,,,,,117
1999,8,7,0,,,211,44,,,23,,1432,,,,,,,128
1999,8,8,0,,,222,44,,,12,,1618,,,,,,,133
1999,8,9,0,,,289,61,,,13,,1330,,,,,,,178
1999,8,10,124,,,233,83,,,34,,1959,,,,,,,161
1999,8,11,3,,,233,122,,,29,,1710,,,,,,,178
1999,8,12,0,,,272,72,,,25,,1730,,,,,,,172
1999,8,13,0,,,244,50,,,36,,1719,,,,,,,150
1999,8,14,0,,,239,72,,,28,,1540,,,,,,,156
1999,8,15,0,,,267,28,,,16,,1510,,,,,,,150
1999,8,16,0,,,322,39,,,16,,1826,,,,,,,183
1999,8,17,0,,,322,50,,,23,,1558,,,,,,,189
1999,8,18,0,,,311,72,,,33,,1237,,,,,,,194
1999,8,19,0,,,306,33,,,19,,1811,,,,,,,172
1999,8,20,0,,,311,28,,,25,,1601,,,,,,,172
1999,8,21,0,,,300,72,,,19,,2333,,,,,,,189
1999,8,22,0,,,333,117,,,20,,2358,,,,,,,228
1999,8,23,3,,,311,106,,,26,,1559,,,,,,,211
1999,8,24,0,,,311,50,,,13,,1604,,,,,,,183
1999,8,25,0,,,339,61,,,11,,1347,,,,,,,200
1999,8,26,0,,,350,61,,,17,,2020,,,,,,,206
1999,8,27,0,,,294,156,,,32,,1907,,,,,,,228
1999,8,28,0,,,289,100,,,15,,14,,,,,,,194
1999,8,29,0,,,306,61,,,26,,1631,,,,,,,183
1999,8,30,99,,,156,22,,,31,,821,,,,,,,89
1999,8,31,0,,,178,-22,,,15,,2024,,,,,,,78
1999,9,1,0,,,206,-17,,,10,,1601,,,,,,,94
1999,9,2,0,,,228,11,,,30,,1543,,,,,,,122
1999,9,3,0,,,211,22,,,21,,1400,,,,,,,117
1999,9,4,0,,,256,-17,,,12,,1442,,,,,,,122
1999,9,5,0,,,306,6,,,19,,1547,,,,,,,156
1999,9,6,0,,,278,39,,,18,,1633,,,,,,,161
1999,9,7,0,,,294,6,,,16,,2001,,,,,,,150
1999,9,8,0,,,328,28,,,17,,1723,,,,,,,178
1999,9,9,5,,,283,56,,,17,,1646,,,,,,,172
1999,9,10,0,,,283,72,,,19,,1510,,,,,,,178
1999,9,11,0,,,278,28,,,19,,1738,,,,,,,156
1999,9,12,0,,,300,17,,,16,,1635,,,,,,,161
1999,9,13,0,,,306,28,,,13,,1534,,,,,,,167
