incident_name,incident_created_year,incident_created_month,incident_created_day,incident_created_hour,incident_created_minute,incident_latitude,incident_longitude,class_label
241 Fire,2015,7,13,10,47,33.7626,-117.7274,1
Cooley Fire,2015,7,13,17,56,41.8048,-122.5029,1
Lake Fire,2015,7,16,11,30,33.21407,-116.73472,1
North Fire,2015,7,17,14,33,34.339,-117.478,1
Pines Fire ,2015,7,17,21,30,34.367,-117.683,1
Cabin Fire,2015,7,19,8,0,36.24,-118.54,1
Betabel Fire,2015,7,20,13,23,36.8727,-121.5681,1
Triple Fire,2015,7,21,12,35,36.085212,-118.824235,1
Dorris Fire,2015,7,21,17,0,41.999341,-121.891226,1
Wragg Fire,2015,7,22,14,24,38.4994,-122.1145,1
Baxter Fire,2015,7,22,18,17,38.9361,-121.1548,1
Kyburz Fire,2015,7,23,14,0,38.776,-120.404,1
3-11 Fire,2015,7,23,16,40,41.29226,-121.172117,1
3-12 Fire,2015,7,23,17,30,40.856422,-121.101623,1
Park Fire,2015,7,24,12,43,32.682547,-116.51684,1
Cutca Fire,2015,7,24,16,18,33.383889,-116.868611,1
Queen Fire,2015,7,24,23,0,41.295667,-123.784067,1
Willow Fire,2015,7,25,14,30,37.279722,-119.50014,1
Lowell Fire,2015,7,25,14,37,39.192088,-120.882313,1
Sullivan Fire,2015,7,28,12,10,37.24523,-121.20324,1
Buck Fire,2015,7,28,17,19,40.1093,-123.774,1
Swedes Fire,2015,7,29,11,25,39.43963,-121.38794,1
Rocky Fire,2015,7,29,15,29,38.8863538,-122.4762475,1
Mallard Fire,2015,7,29,16,30,40.509552,-122.199227,1
Big Creek Fire,2015,7,29,16,30,37.823,-120.15644,1
China Fire,2015,7,29,17,55,40.415108,-122.439939,1
Vasco Fire,2015,7,30,11,18,37.81629,-121.68113,1
Advance Fire,2015,7,30,12,40,36.49845,-118.9009,1
Sprig Fire,2015,7,30,12,57,40.49865,-122.20109,1
Mendocino Lightning Fires,2015,7,30,13,36,39.43301,-123.36316,1
Frog Fire,2015,7,30,17,45,41.399,-121.392,1
Rough Fire ,2015,7,31,19,0,36.874,-118.905,1
White Fire,2015,8,1,14,32,34.9522,-120.2903,1
Fern Fire,2015,8,2,3,0,40.67868,-121.93244,1
Dodge Fire,2015,8,3,14,15,40.938,-120.105,1
Point Fire,2015,8,3,14,28,40.3929,-122.40546,1
Francis Fire,2015,8,3,18,7,39.33303,-121.18735,1
36 Fire,2015,8,8,14,55,40.3506868,-121.7786799,1
De Luz Fire,2015,8,9,8,22,33.4115972,-117.2886249,1
Jerusalem Fire,2015,8,9,15,34,38.8142503,-122.4867319,1
Anza Fire,2015,8,10,11,44,33.5736,-116.5387,1
Mark Fire,2015,8,13,16,15,38.052,-120.5577,1
Tulloch Fire,2015,8,15,16,11,37.83618,-120.61691,1
Cuesta Fire,2015,8,16,18,13,35.3477,-120.6269,1
Horse Fire,2015,8,18,18,30,40.1058823,-124.0720419,1
Tesla Fire,2015,8,19,14,45,37.3845,-121.3732,1
Peterson Fire,2015,8,22,17,30,38.925764,-122.879272,1
Summit Fire,2015,8,23,12,25,34.23,-116.883,1
Grade Fire,2015,8,24,12,12,38.831478,-122.53428,1
Democrat Fire,2015,8,25,14,8,40.724898,-122.96174,1
Kramer Fire ,2015,8,29,16,6,41.12362,-121.194256,1
Oak Fire,2015,9,8,13,23,38.04684,-120.30188,1
Center Fire,2015,9,9,14,12,40.400196,-120.553075,1
Butte Fire,2015,9,9,14,26,38.32974,-120.70418,1
Creek Fire,2015,9,9,14,30,40.400196,-120.553075,1
Lumpkin Fire,2015,9,11,14,15,39.5218,-121.3363,1
Walker Fire,2015,9,11,15,8,40.47512,-122.52541,1
Tassajara Fire,2015,9,19,15,0,36.3699644,-121.589554,1
Laureles Fire,2015,9,19,15,25,36.5696373,-121.7556029,1
McCourtney Fire,2015,9,22,7,0,39.081,-121.194,1
Munjar Fire,2015,10,2,14,38,39.8707,-121.8938,1
Cienega Fire,2015,10,12,16,0,36.70854,-121.32734,1
Gibraltar Fire,2015,10,29,5,30,34.4828,-119.63216,1
Potrero Fire,2015,11,7,1,45,34.15,-118.879444,1
Solimar Fire,2015,12,25,22,42,34.31953,-119.34512,1
Gorman Fire,2016,4,19,13,9,34.6888731,-118.7892593,1
Taglio Fire,2016,4,24,11,10,37.2171,-121.08036,1
Shedd Fire,2016,5,10,16,11,35.61961,-120.39993,1
Bryson Fire,2016,5,12,14,13,35.8378273,-121.0381507,1
Avocado Fire,2016,5,15,16,38,36.78769,-119.38248,1
Athens Fire,2016,5,17,15,6,38.8390117,-121.3090268,1
Metz Fire,2016,5,22,15,27,36.38123,-121.20059,1
Wheatland Fire,2016,5,23,14,15,34.276,-118.354,1
DeWolf Fire,2016,5,25,1,3,36.88286,-119.654,1
Dunstone Fire,2016,5,27,13,43,39.33035,-121.78973,1
70 Fire,2016,5,29,16,51,39.624017,-121.595093,1
Tulloch Fire,2016,5,30,15,10,37.927613,-120.528836,1
Pala Fire,2016,5,31,13,48,33.41639,-117.08829,1
Chimney Fire,2016,6,1,15,35,35.84883,-118.08591,1
Aukum Fire,2016,6,3,12,41,38.64107,-120.6955,1
Clay Fire,2016,6,3,16,57,38.3131,-121.06452,1
Hidden Fire,2016,6,3,17,39,36.80296,-121.40304,1
Temecula Fire,2016,6,4,11,40,33.476894,-117.140883,1
Coleman Fire,2016,6,4,14,33,36.01542,-121.25029,1
Soda Fire,2016,6,4,17,46,35.01382,-119.58206,1
Pony Fire,2016,6,7,2,45,41.623,-123.557,1
Coe Fire,2016,6,7,16,30,37.17072,-121.42238,1
Hoag Fire,2016,6,11,14,30,39.7947,-121.857,1
Cotton Fire,2016,6,11,15,4,35.77135,-120.251,1
Keswick Fire,2016,6,11,16,2,40.61388,-122.46777,1
Old Fire,2016,6,12,12,45,36.49914,-121.04993,1
Sherpa Fire,2016,6,15,15,21,34.776,-119.643,1
Camanche Fire,2016,6,17,14,54,38.26874,-120.90265,1
Arroyo Fire,2016,6,18,16,47,36.2833,-121.3306,1
Border Fire,2016,6,19,11,3,32.60729,-116.63028,1
Coal Fire,2016,6,20,16,38,39.595,-121.6008,1
Paskenta Fire,2016,6,21,10,26,39.93965,-122.40142,1
Moore Fire,2016,6,21,12,24,38.86804,-121.37704,1
70 Fire,2016,6,21,15,9,39.43351,-121.6051,1
Erskine Fire,2016,6,23,15,51,35.6115,-118.45628,1
Lowe Fire,2016,6,23,17,57,36.1934,-120.9293,1
Marina Fire,2016,6,25,6,30,37.97,-119.14,1
Grant Fire,2016,6,25,16,11,37.74369,-121.58677,1
Dinosaur Fire,2016,6,25,23,45,37.07147,-121.20155,1
Laguna Fire,2016,6,26,13,10,33.57872,-117.77395,1
Creek Fire,2016,6,26,15,45,38.69971,-122.15457,1
Reservoir Fire,2016,6,26,16,0,39.12366,-122.50373,1
Frazier Fire,2016,6,27,12,7,35.70821,-120.82266,1
Campo Fire,2016,6,27,18,0,38.22017,-120.8678,1
Trailhead Fire,2016,6,28,13,55,38.96741,-120.9375,1
Rancho Fire,2016,6,28,19,2,38.385,-121.003611,1
Colyear Fire,2016,6,30,13,32,40.0353,-122.56939,1
Pine Fire,2016,6,30,16,55,34.701,-119.144,1
Lone Pine Fire,2016,7,1,12,56,36.58972,-118.15589,1
Flores Fire,2016,7,1,13,54,40.07846,-122.2071,1
Kuehner Fire,2016,7,1,14,0,34.27619,-118.63264,1
Deer Fire,2016,7,1,14,5,35.20993,-118.72272,1
Curry Fire,2016,7,1,17,16,36.0749,-120.452041,1
Appaloosa Fire,2016,7,2,14,55,38.02845,-120.61153,1
Broken Fire,2016,7,4,11,53,37.25601,-119.65776,1
Frame Fire,2016,7,4,17,15,36.14161,-120.62048,1
Fiddler Fire,2016,7,8,22,45,40.36873,-122.72913,1
Sage Fire,2016,7,9,12,4,34.36763,-118.57245,1
Scott Fire,2016,7,10,15,30,38.517772,-121.103642,1
Shelter Fire,2016,7,11,12,58,33.11645,-116.58542,1
Big Fire,2016,7,11,14,30,36.92244,-119.39619,1
Pacheco Fire,2016,7,12,13,14,38.08056,-120.81394,1
Stagecoach Fire,2016,7,12,15,19,37.96311,-120.67335,1
Sherwood Fire,2016,7,13,15,52,36.92244,-119.39619,1
Onyx Fire,2016,7,13,17,8,35.68313,-118.21793,1
Dunnigan Fire,2016,7,15,14,0,38.8866,-122.04726,1
Green Fire,2016,7,15,16,45,37.0099,-119.5792,1
Famoso Fire,2016,7,15,23,55,35.60748,-118.94811,1
Feather Fire,2016,7,18,13,8,32.9612,-116.7945,1
Bailey Fire,2016,7,19,14,9,41.96191,-122.59328,1
Foothill Fire,2016,7,19,17,16,39.0863,-122.7891,1
Baker Fire,2016,7,21,15,6,37.98171,-120.64241,1
Roblar Fire,2016,7,21,16,6,33.393,-117.35093,1
Table Fire,2016,7,21,20,30,41.71847,-122.36924,1
Soberanes Fire,2016,7,22,8,48,36.45994,-121.89938,1
Oak Fire,2016,7,22,13,1,38.33475,-122.02564,1
Storksbill Fire,2016,7,22,13,15,38.79549,-121.00299,1
Rock Fire,2016,7,22,14,47,33.00056,-116.9571,1
Bradley Fire,2016,7,22,15,15,35.85093,-120.81081,1
Franklin Fire,2016,7,24,16,30,38.01264,-122.1885,1
Fork Fire,2016,7,29,17,55,37.24006,-119.4741,1
Goose Fire,2016,7,30,16,40,37.01591,-119.50507,1
Frymire Fire,2016,7,30,17,25,37.81434,-120.69521,1
Sierra Fire,2016,7,30,17,25,37.41896,-121.79669,1
99 Fire,2016,8,2,14,35,39.6708,-121.7192,1
Cold Fire,2016,8,2,16,36,38.52513,-122.06788,1
Baker Fire,2016,8,3,17,27,40.19611,-122.26736,1
Grub Fire,2016,8,4,14,13,37.3228,-119.7738,1
Hart Fire,2016,8,4,17,10,35.24504,-118.60344,1
Deer Fire,2016,8,5,13,49,38.2581,-120.8657,1
Pilot Fire,2016,8,7,12,18,34.28771,-117.27338,1
Mineral Fire,2016,8,8,13,8,36.09974,-120.51057,1
Mountain Fire,2016,8,9,12,14,40.61213,-122.47091,1
Kugelman Fire,2016,8,9,17,30,36.09974,-120.51057,1
Knoxville Fire,2016,8,9,18,50,38.68403,-122.26015,1
Gopher Fire,2016,8,10,9,14,33.22558,-117.14547,1
Stafford Fire,2016,8,11,14,57,40.4572,-124.05804,1
Oak Fire,2016,8,12,16,0,37.06531,-121.68577,1
Summit Fire,2016,8,12,17,23,40.9878,-123.77832,1
Chimney Fire,2016,8,13,16,3,35.70595,-120.98316,1
Clayton Fire,2016,8,13,18,3,38.89741,-122.60664,1
Blue Cut Fire,2016,8,16,10,44,34.30372,-117.49342,1
Cedar Fire,2016,8,16,16,35,35.7506,-118.5678,1
Mokelumne Fire,2016,8,18,12,5,38.57554,-120.00606,1
Beale Fire,2016,8,18,15,35,36.16965,-121.38775,1
Bird Fire,2016,8,20,8,35,37.62215,-121.36665,1
Tully Fire,2016,8,22,16,3,41.28486,-123.82268,1
Tule Fire,2016,8,22,22,0,36.1648,-118.73906,1
Grade Fire,2016,8,24,14,55,41.7813,-122.611,1
Range Fire,2016,8,26,10,10,35.2013,-118.7212,1
Santos Fire,2016,8,26,15,30,39.79547,-121.71662,1
Gap Fire,2016,8,27,18,0,41.851,-123.118,1
Willow Fire,2016,8,28,13,7,38.1874,-120.6381,1
Havilah Fire,2016,8,28,18,50,35.4976,-118.5097,1
Mina Fire,2016,8,30,13,35,39.8748511,-123.4267011,1
Mockingbird Fire,2016,8,30,16,54,39.1408865,-122.9148951,1
Holy Fire,2016,8,31,4,10,33.6542,-117.5221,1
Oak Fire,2016,9,1,14,36,37.11831,-121.69784,1
Sunny Fire,2016,9,3,14,44,36.84479,-119.34487,1
Ken Fire,2016,9,3,21,51,34.25858,-117.4415,1
Saddle Fire,2016,9,5,16,28,39.6871,-121.571,1
Phoenix Fire,2016,9,7,15,9,39.39051,-120.51887,1
Spring Fire,2016,9,7,16,53,34.3183,-117.3189,1
Ruff Fire ,2016,9,10,14,6,39.7299,-123.5044,1
Lake Fire,2016,9,10,15,45,40.68192,-122.4096,1
Boys Fire,2016,9,11,11,25,38.558,-121.1309,1
Willard Fire,2016,9,11,11,33,40.3915,-120.7845,1
Howard Fire,2016,9,11,14,15,41.4657,-120.9066,1
Moffett Fire,2016,9,12,16,28,41.6314,-122.7933,1
Old Fire,2016,9,13,13,55,37.75972,-120.029626,1
Hog Fire,2016,9,13,23,10,40.30594,-122.1295,1
Old Fire,2016,9,16,23,28,39.8851,-121.6998,1
Auburn Fire,2016,9,17,13,40,39.20427,-121.05948,1
Owens River Fire,2016,9,17,13,49,37.75985,-118.95309,1
Soup Complex,2016,9,17,14,37,41.2649,-120.3178,1
Canyon Fire,2016,9,17,17,20,34.63445,-120.54421,1
Butte Fire,2016,9,20,9,30,39.188321,-121.78003,1
Bangor Fire,2016,9,22,11,45,39.4403,-121.42647,1
Washington Fire,2016,9,22,14,20,34.75134,-120.55297,1
Newmark Fire,2016,9,23,12,40,36.6543,-119.5327,1
Bell Fire,2016,9,23,13,12,38.5212,-120.8416,1
Cow Fire,2016,9,25,7,15,40.0,-121.93923,1
Sawmill Fire,2016,9,25,10,43,38.80017,-122.82895,1
Marshes Fire,2016,9,26,12,20,37.79635,-120.32484,1
Tobin Fire,2016,9,26,13,23,39.92,-121.32,1
Loma Fire,2016,9,26,14,42,37.10632,-121.85318,1
Creek Fire,2016,10,10,16,13,38.40958,-122.43172,1
Sacata Fire,2016,10,11,12,58,36.94536,-119.25959,1
Emerald Fire,2016,10,14,1,28,38.93449,-120.10744,1
Jacobson Fire,2016,10,20,17,0,36.217,-118.551,1
Meadow Fire,2016,10,29,11,15,35.984,-118.551,1
Gopher Fire,2016,11,13,11,14,33.254355,-117.158475,1
Marek Fire,2016,11,14,5,45,34.31,-118.335,1
Oroville Spillway ,2017,2,7,14,0,39.51158,-121.55633,1
Grace Fire,2017,4,3,16,0,40.48712,-121.85645,1
West Fire,2017,4,3,16,0,41.16716,-120.58342,1
66 Fire,2017,4,13,2,30,33.56777,-116.08003,1
Jayne Fire,2017,4,20,15,40,36.07228,-120.26561,1
Soledad Fire,2017,4,24,12,6,36.44141,-121.34695,1
El Dorado Fire,2017,4,28,15,40,36.530836,-120.206592,1
Tumey Fire,2017,4,29,17,15,36.5355,-120.6585,1
Opera Fire,2017,4,30,15,23,34.00566,-117.30693,1
Tower Fire,2017,4,30,16,3,34.30104,-117.45646,1
Jameson Fire,2017,4,30,19,43,33.7866,-117.5048,1
Fay Fire,2017,5,1,12,44,35.71704,-118.30601,1
Olive Fire,2017,5,2,14,32,35.78286,-120.22647,1
Shandon Fire,2017,5,7,16,41,35.6879,-120.3317,1
Sonoma Fire,2017,5,10,15,27,36.45491,-120.2445,1
Hub Fire,2017,5,12,5,5,35.60001,-118.4683,1
Wright Fire,2017,5,12,15,30,36.96655,-120.89261,1
Nacimiento Fire,2017,5,14,12,0,35.77082,-120.92482,1
Canyon Fire,2017,5,14,12,51,33.88466,-116.99229,1
Feed Fire,2017,5,14,14,0,35.05076,-118.90004,1
Arrow Fire,2017,5,15,13,58,35.21177,-119.87525,1
Bravo Fire,2017,5,15,14,5,35.41283,-118.84466,1
Pine Fire,2017,5,16,16,10,36.1727,-120.86682,1
Lonoak Fire,2017,5,17,15,18,36.2771,-120.94328,1
41 Fire,2017,5,17,15,30,36.90967,-119.79315,1
Camp Fire,2017,5,18,8,48,35.34541,-120.76464,1
City Fire,2017,5,18,12,54,35.983,-119.91508,1
Elm Fire,2017,5,18,13,11,36.12089,-120.37116,1
Moraga Fire,2017,5,18,17,25,33.97155,-117.44148,1
Range Fire,2017,5,19,13,10,35.85253,-120.80411,1
Deluz Fire,2017,5,19,14,45,33.3906,-117.32348,1
Manning Fire,2017,5,19,23,28,36.60736,-120.5828,1
Rocky Fire,2017,5,20,13,11,35.556667,-120.474,1
Ming Fire,2017,5,20,14,23,35.4605,-118.85896,1
Wasioja Fire,2017,5,20,17,54,34.9465,-119.8036,1
Gate Fire,2017,5,20,23,19,32.65597,-116.80527,1
Smiley Fire,2017,5,21,16,12,33.96419,-117.20507,1
Bitterwater Fire,2017,5,22,4,50,36.35578,-120.99552,1
Moreno Fire,2017,5,23,13,13,33.94673,-117.17773,1
Ribbonwood Fire,2017,5,24,15,30,32.679,-116.29296,1
Lamb Fire,2017,5,25,14,48,33.88287,-116.99651,1
Range Fire,2017,5,25,18,15,33.34988,-117.39818,1
Rusty Fire,2017,5,28,7,49,36.96642,-119.58292,1
Champagne Fire,2017,5,28,10,59,34.87128,-118.35296,1
Serenas Fire,2017,5,28,15,27,33.58577,-116.07429,1
Lombardi Fire,2017,5,28,15,30,38.19906,-120.83484,1
Panoche Fire,2017,5,28,16,16,36.61332,-120.7109,1
Matz Fire,2017,5,29,1,20,34.04412,-116.55326,1
Twenty Fire,2017,5,29,15,31,39.23205,-121.376,1
Fountain Fire ,2017,5,31,11,30,35.89423,-119.00334,1
Clay Fire,2017,6,1,15,38,38.33707,-121.11113,1
Fairview Fire,2017,6,1,16,12,33.94788,-116.59719,1
Elk Fire,2017,6,2,18,55,35.188,-119.2877,1
Vernon Fire,2017,6,3,12,9,33.82165,-116.96079,1
Jones Fire,2017,6,3,13,9,41.38247,-120.53443,1
5 Fire,2017,6,3,15,39,34.29931,-118.37539,1
River Fire,2017,6,4,16,12,40.03392,-120.1064,1
Spring Fire ,2017,6,4,16,22,40.38944,-122.13088,1
Shirleon Fire ,2017,6,4,16,48,33.87107,-116.88097,1
Creek Fire ,2017,6,4,22,11,35.60633,-118.4642,1
Fish Fire,2017,6,5,13,17,37.86549,-122.2102,1
Pine Fire,2017,6,5,14,2,35.564124,-118.796513,1
Wilbur Fire,2017,6,6,12,43,39.52499,-121.64897,1
Whitepine Fire,2017,6,6,16,38,41.8721,-122.4571,1
Dinely Fire,2017,6,7,11,55,36.45809,-118.87676,1
26 Fire,2017,6,7,21,0,37.12759,-120.0193,1
Breckenridge Fire,2017,6,9,4,53,35.37351,-118.84134,1
Island Fire,2017,6,9,13,0,32.779139,-114.578415,1
Hog Fire,2017,6,9,16,15,35.80375,-120.52508,1
Bodfish Fire,2017,6,10,12,17,35.59804,-118.47939,1
Oakwood Fire,2017,6,10,13,19,37.0825,-119.8011,1
Wild Fire,2017,6,11,10,46,36.704679,-120.405077,1
Monterey Fire,2017,6,11,17,15,36.616986,-120.369347,1
Pleyto Fire,2017,6,11,18,12,35.902149,-120.983684,1
Red Fire,2017,6,11,18,49,37.85137,-120.45268,1
Tivy Fire,2017,6,11,22,45,36.8005,-119.35901,1
Refuge Fire,2017,6,13,10,18,38.68347,-122.2654,1
Valley Fire,2017,6,13,12,0,33.584036,-116.972036,1
Douglas Fire,2017,6,13,14,31,33.23281,-117.29509,1
King Fire,2017,6,13,17,0,35.8556,-118.74542,1
Reed Fire,2017,6,13,17,21,33.52584,-116.85226,1
Lucy Fire,2017,6,14,11,44,35.6871,-120.3187,1
Westfall Fire,2017,6,15,7,30,37.36914,-120.0088,1
Canyon Fire,2017,6,15,11,36,33.950382,-116.884446,1
Nuevo Fire,2017,6,15,15,51,33.79925,-117.11659,1
Skyway Fire,2017,6,16,9,27,39.69717,-121.75417,1
Shore Fire,2017,6,16,15,49,35.90092,-120.93371,1
Lake Fire,2017,6,17,13,55,34.55607,-118.60703,1
Bolla Fire,2017,6,18,7,15,40.32063,-122.83208,1
Lambs Fire,2017,6,18,12,28,33.90965,-116.9669,1
Road Fire,2017,6,18,14,4,37.02081,-119.95136,1
Highway Fire,2017,6,18,14,22,35.53456,-118.66733,1
Smiley Fire,2017,6,18,15,10,33.98639,-117.21314,1
Bogus Fire,2017,6,18,15,45,41.93006,-122.36545,1
Trellis Fire,2017,6,18,16,3,33.71025,-117.31924,1
Holcomb Fire,2017,6,19,15,5,34.2976,-116.826,1
Evans Fire,2017,6,19,21,41,39.71101,-120.02325,1
Orange Fire,2017,6,21,14,45,37.82934,-120.68992,1
Quimby Fire,2017,6,21,18,2,37.33454,-121.76323,1
Highway Fire,2017,6,22,9,49,39.364,-121.4143,1
Lone Fire,2017,6,22,11,10,39.38416,-121.5786,1
Toll Fire,2017,6,22,13,8,38.07481,-122.23004,1
Creek Fire,2017,6,23,16,0,36.27306,-120.65185,1
King Incident,2017,6,23,22,32,36.51912,-119.50606,1
Paskenta Fire,2017,6,24,11,15,40.10282,-122.27379,1
Black Fire,2017,6,25,12,9,33.1683,-116.77342,1
Placerita Fire,2017,6,25,12,47,34.37443,-118.49343,1
Salmon-August Complex ,2017,6,25,17,0,41.841,-123.474,1
King Fire,2017,6,26,12,30,40.703775,-122.645079,1
Manzanita Fire,2017,6,26,15,10,33.530045,-116.594422,1
Hill Fire,2017,6,26,15,27,35.4025,-120.4992,1
Shore Fire,2017,6,26,21,30,41.93323,-124.19629,1
Latrobe Fire,2017,6,27,7,39,38.45822,-120.92162,1
Sloane Fire,2017,6,27,9,38,32.7789,-116.8516,1
Pine Fire,2017,6,27,10,39,37.9775,-122.65749,1
Mart Fire,2017,6,27,15,22,34.14575,-117.17813,1
Alvarado Fire,2017,6,28,9,30,35.947,-120.87492,1
Battle Fire,2017,6,28,13,50,41.85763,-121.29581,1
Ben Fire,2017,6,28,15,49,37.3762,-119.9646,1
 Cristianitos Fire,2017,6,28,17,56,33.43513,-117.58252,1
Ranch Fire,2017,6,29,13,56,37.3344,-121.71752,1
Stokes Fire,2017,6,29,15,45,34.10446,-118.70294,1
Lockwood Fire,2017,6,29,20,44,35.96275,-121.08753,1
Tarina Fire ,2017,6,30,13,49,35.38298,-118.80123,1
Oak Fire,2017,7,1,0,48,40.69554,-122.0122,1
Brewer Fire,2017,7,2,12,41,39.08382,-121.06656,1
Lisa Fire,2017,7,2,13,4,33.913089,-117.096233,1
Spring Fire,2017,7,2,13,36,37.4591,-119.921,1
Desabla Fire,2017,7,2,13,43,39.8629,-121.6268,1
Derrick Fire,2017,7,2,22,28,36.269125,-120.620791,1
Canyon Fire,2017,7,3,13,34,33.91806,-116.99321,1
Lago Fire,2017,7,3,15,14,33.87739,-117.16215,1
Timber Fire,2017,7,3,19,31,33.96896,-117.25411,1
Silver Fire,2017,7,4,13,15,34.304722,-117.3125,1
Valley Fire,2017,7,4,13,21,36.85596,-121.30983,1
Freedom Fire,2017,7,4,13,21,36.81476,-119.51592,1
Grade Fire,2017,7,4,14,45,34.20599,-118.98603,1
Jurupa Fire,2017,7,4,15,20,33.99316,-117.48405,1
Klamath Fire,2017,7,4,15,21,41.86609,-122.73031,1
Lakeland Fire,2017,7,4,15,45,39.53944,-121.54722,1
Eagle Fire,2017,7,4,16,55,33.85323,-117.48195,1
Globe Fire,2017,7,5,8,24,36.10858,-118.81979,1
Fay Fire,2017,7,5,11,5,41.3975,-122.8428,1
Auberry Fire,2017,7,5,15,40,36.95104,-119.65621,1
Gold Fire,2017,7,5,16,56,38.20176,-120.67848,1
Quail Fire,2017,7,6,12,29,35.59904,-119.08312,1
Winters Fire,2017,7,6,12,41,38.49521,-122.0251,1
Antelope Fire,2017,7,6,13,0,40.6361,-120.9643,1
Alamo Fire,2017,7,6,15,44,35.0179,-120.3223,1
Hawk Fire,2017,7,7,9,18,35.77896,-118.89627,1
Daulton Fire,2017,7,7,10,0,37.09773,-120.02027,1
Christmas Fire,2017,7,7,12,56,33.763304,-117.314994,1
Wall Fire,2017,7,7,14,52,39.45352,-121.41222,1
Bryant Fire,2017,7,7,15,45,34.07612,-117.06765,1
Banderilla Fire,2017,7,7,15,50,37.65963,-120.34802,1
Tower Fire,2017,7,7,16,23,35.346,-120.62825,1
Deer Complex,2017,7,8,2,20,37.87808,-121.78677,1
Lake Fire,2017,7,8,11,0,37.64898,-120.4925,1
Whittier Fire,2017,7,8,13,43,34.55096,-119.9494,1
Willow Fire,2017,7,8,15,26,38.02929,-122.25544,1
Axel Fire,2017,7,8,16,38,38.7803,-120.97111,1
West Fire,2017,7,8,16,47,39.06308,-121.303,1
Parkfield Fire,2017,7,8,18,30,35.86949,-120.57894,1
Benson Fire,2017,7,8,18,58,40.29118,-122.42606,1
Stone Fire,2017,7,9,13,49,35.42433,-120.47322,1
Garza Fire,2017,7,9,15,10,35.93273,-120.20014,1
Farad Fire,2017,7,10,13,2,39.439722,-120.027222,1
Honcut Fire,2017,7,10,14,45,39.37192,-121.53865,1
Felipe Fire,2017,7,10,15,54,37.25014,-121.68562,1
Jennings Fire,2017,7,11,13,45,32.84796,-116.85396,1
Long Valley Fire,2017,7,11,14,15,40.07045,-120.14013,1
Lariat Fire,2017,7,11,16,51,37.39801,-121.8179,1
Quail Fire,2017,7,12,13,10,38.18303,-120.85322,1
Rosado Fire,2017,7,12,13,51,38.67474,-121.06088,1
Rebie Fire,2017,7,12,13,55,39.50475,-121.33785,1
Hidden Fire,2017,7,12,15,29,34.149,-117.189,1
Spaletta Fire,2017,7,12,16,15,38.08055,-122.77846,1
Washington Fire,2017,7,13,10,28,33.62613,-117.07975,1
Navajo Fire,2017,7,13,14,14,33.77896,-117.24091,1
Dode Fire,2017,7,13,15,23,41.72163,-121.30451,1
Bridge Fire,2017,7,14,14,23,34.09773,-117.10567,1
North Fire,2017,7,15,18,10,40.48972,-122.38619,1
Reservation Fire,2017,7,16,11,17,36.66684,-121.74826,1
Grade Fire,2017,7,16,14,51,39.30125,-123.28825,1
Detwiler Fire,2017,7,16,15,56,37.61757,-120.21321,1
Range Fire,2017,7,17,12,37,39.13207,-123.10227,1
Maria Fire,2017,7,17,12,55,38.29113,-120.62177,1
Park Fire,2017,7,17,13,15,35.95911,-120.55579,1
Sand Fire,2017,7,17,13,17,39.01224,-122.20127,1
Centerville Fire,2017,7,17,13,38,41.45589,-120.56933,1
