incident_name,incident_created_year,incident_created_month,incident_created_day,incident_created_hour,incident_created_minute,incident_acres_burned,incident_longitude,incident_latitude,incident_extinguished_year,incident_extinguished_month,incident_extinguished_day,incident_extinguished_hour,incident_extinguished_minute
Parkfield Fire,2017,07,08,18,30,1816,-120.57894,35.86949,2018,01,09,11,50
Benson Fire,2017,07,08,18,58,29,-122.42606,40.29118,2018,01,09,11,51
Stone Fire,2017,07,09,13,49,340,-120.47322,35.42433,2018,01,09,11,51
Garza Fire,2017,07,09,15,10,48660,-120.20014,35.93273,2018,01,09,11,51
Farad Fire,2017,07,10,13,02,747,-120.027222,39.439722,2018,01,09,11,51
Honcut Fire,2017,07,10,14,45,166,-121.53865,39.37192,2018,01,09,11,52
Felipe Fire,2017,07,10,15,54,70,-121.68562,37.25014,2018,01,09,11,52
Jennings Fire,2017,07,11,13,45,400,-116.85396,32.84796,2018,01,09,11,52
Long Valley Fire,2017,07,11,14,15,83733,-120.14013,40.07045,2018,01,09,11,52
Lariat Fire,2017,07,11,16,51,101,-121.8179,37.39801,2018,01,09,11,53
Quail Fire,2017,07,12,13,10,59,-120.85322,38.18303,2018,01,09,11,53
Chetco Fire,2017,07,12,13,45,191125,-123.95405,42.29896,2018,01,09,11,52
Rosado Fire,2017,07,12,13,51,13,-121.06088,38.67474,2018,01,09,11,53
Rebie Fire,2017,07,12,13,55,10,-121.33785,39.50475,2018,01,09,11,53
Hidden Fire,2017,07,12,15,29,46,-117.189,34.149,2018,01,09,11,54
Spaletta Fire,2017,07,12,16,15,35,-122.77846,38.08055,2018,01,09,11,54
Washington Fire,2017,07,13,10,28,32,-117.07975,33.62613,2018,01,09,11,54
Navajo Fire,2017,07,13,14,14,10,-117.24091,33.77896,2018,01,09,11,54
Dode Fire,2017,07,13,15,23,410,-121.30451,41.72163,2018,01,09,11,54
Bridge Fire,2017,07,14,14,23,460,-117.10567,34.09773,2018,04,12,14,52
North Fire,2017,07,15,18,10,10,-122.38619,40.48972,2018,01,09,11,56
Reservation Fire,2017,07,16,11,17,40,-121.74826,36.66684,2018,01,09,11,56
Grade Fire,2017,07,16,14,51,900,-123.28825,39.30125,2018,01,09,11,56
Detwiler Fire,2017,07,16,15,56,81826,-120.21321,37.61757,2018,01,09,11,57
Range Fire,2017,07,17,12,37,20,-123.10227,39.13207,2018,01,09,11,58
Maria Fire,2017,07,17,12,55,117,-120.62177,38.29113,2018,01,09,11,58
Park Fire,2017,07,17,13,15,1649,-120.55579,35.95911,2018,01,09,11,58
Sand Fire,2017,07,17,13,17,70,-122.20127,39.01224,2018,01,09,11,58
Centerville Fire,2017,07,17,13,38,15,-120.56933,41.45589,2018,01,09,11,58
Murphy Fire,2017,07,17,14,44,40,-122.62382,38.86056,2018,01,09,11,59
Mesa Fire,2017,07,17,14,55,50,-120.13249,34.72379,2018,01,09,11,59
Fox Fire,2017,07,17,15,32,59,-118.78928,36.18815,2018,01,09,11,59
Hudson Fire,2017,07,18,11,45,1083,-119.44751,34.94373,2018,01,09,11,59
Laverne Fire,2017,07,18,12,39,180,-122.43608,40.47106,2018,01,09,12,01
Ellis Fire,2017,07,18,15,34,72,-117.25075,33.75526,2018,01,09,12,01
Hogback Fire,2017,07,18,15,50,58,-118.99944,36.64404,2018,01,09,12,01
Willms Fire,2017,07,18,22,39,19,-120.65764,37.81827,2018,01,09,12,01
Marble Fire,2017,07,19,14,00,319,-123.506,41.478,2018,01,09,12,01
Humboldt Fire,2017,07,19,16,02,103,-121.74121,39.76243,2018,04,12,14,52
Creek Fire,2017,07,19,17,30,0,-122.17657,39.75425,2018,01,09,12,02
Zenon Fire,2017,07,20,14,43,47,-120.5634,35.06472,2018,01,09,12,03
Elephant Fire,2017,07,20,19,16,416,-119.06598,36.22265,2018,01,09,12,02
Grizzly Fire,2017,07,21,16,50,10,-120.97586,39.36902,2018,01,09,12,03
Dollar Fire,2017,07,22,13,35,85,-117.14466,34.20152,2018,01,09,12,03
Lost Fire,2017,07,22,15,00,255,-116.66107,33.34659,2018,04,12,14,52
Seine Fire,2017,07,22,15,49,20,-117.199,34.139,2018,01,09,12,03
Warner Mountain Lightning,2017,07,23,00,00,0,-120.304,41.338,2018,01,09,12,04
High Fire,2017,07,23,15,53,170,-117.03031,34.41204,2018,01,09,12,04
Castro Fire,2017,07,23,16,07,78,-121.55552,36.96607,2018,01,09,12,04
Olive Fire,2017,07,24,14,43,150,-120.23656,35.7751,2018,01,09,12,05
Spenceville Fire,2017,07,24,14,56,39,-121.3519,39.06522,2018,01,09,12,05
Clear Complex (merged into Eclipse Complex),2017,07,25,12,45,0,-123.508,41.702,2018,01,09,12,05
Woodland Fire,2017,07,25,14,13,13,-120.73757,38.69775,2018,01,09,12,06
Ranch Fire,2017,07,26,13,58,140,-120.70013,38.559707,2018,01,09,12,06
Latrobe Fire,2017,07,26,14,45,1268,-121.104,38.5181,2018,01,09,12,06
Orleans Complex,2017,07,26,18,00,27276,-123.501,41.59,2018,01,09,12,07
Weller Fire,2017,07,26,23,19,51,-121.84108,37.44485,2018,01,09,12,07
Greenhorn Fire,2017,07,27,14,49,15,-120.95498,39.16826,2018,01,09,12,06
Live Fire,2017,07,28,13,24,57,-122.3209,40.1583,2018,01,09,12,07
Gorman Fire,2017,07,28,15,25,135,-118.851943,34.792882,2018,01,09,12,07
Placentia Fire,2017,07,28,18,11,63,-117.18552,33.81976,2018,01,09,12,07
Jacksonville Fire,2017,07,29,13,50,675,-120.408135,37.905545,2018,01,09,12,09
Hill Fire,2017,07,29,16,33,155,-121.9741,41.9808,2018,01,09,12,12
Sky Fire,2017,07,29,17,29,17,-122.17384,40.69259,2018,01,09,12,12
Minerva Fire,2017,07,29,18,55,4310,-120.9761,39.9034,2018,01,09,12,08
Largo Fire,2017,07,30,01,45,236,-121.039267,38.538332,2018,01,09,12,14
Garden Fire,2017,07,30,16,17,1350,-118.654,35.543,2018,01,09,12,14
Twist Fire,2017,07,30,16,28,124,-120.36005,37.90014,2018,01,09,12,14
Roadrunner Fire,2017,07,30,17,43,2289,-118.94252,36.0226,2018,01,09,12,15
Summit Complex,2017,07,31,13,44,5247,-119.782,38.329,2018,01,09,12,15
Rose Fire,2017,07,31,14,22,200,-117.396404,33.689092,2018,01,09,12,15
Mile Fire,2017,07,31,14,44,100,-117.26969,34.19076,2018,01,09,12,16
Independence Fire,2017,07,31,23,17,11,-122.90217,38.70289,2018,01,09,12,15
Empire Fire,2017,08,01,08,45,8094,-119.618,37.644,2018,01,09,12,16
Sway Fire,2017,08,01,10,23,19,-123.57562,40.39799,2018,01,09,12,16
Falls Fire,2017,08,01,16,33,20,-120.31157,37.65986,2018,01,09,12,16
Sandy Fire,2017,08,02,08,30,32,-123.39253,40.79902,2018,01,09,12,17
Red Fire,2017,08,02,10,15,460,-120.28037,35.40357,2018,01,09,12,17
Camatta Fire,2017,08,02,10,33,70,-120.2913,35.4403,2018,01,09,12,17
Sandy Fire,2017,08,02,11,13,32,-123.375,40.804,2018,01,09,12,16
Indian Fire,2017,08,02,18,00,2295,-118.296,36.257,2018,01,09,12,17
Saw Fire,2017,08,03,11,58,85,-123.76099,40.11794,2018,01,09,12,17
Parker 2 Fire,2017,08,03,14,00,7697,-120.321,41.466,2018,01,09,12,18
Bryant Fire,2017,08,03,15,35,325,-117.03826,34.08492,2018,01,09,12,18
Rincon Fire,2017,08,03,16,21,10,-117.85182,34.23925,2018,01,09,12,18
Blocksburg Fire,2017,08,03,16,41,30,-123.64281,40.27582,2018,01,09,12,18
Stewart Fire,2017,08,04,14,25,122,-117.239099,34.009026,2018,01,09,12,19
Calgary Fire,2017,08,05,13,16,50,-118.47307,35.70639,2018,01,09,12,19
W-2 Fire,2017,08,06,15,29,530,-120.74968,41.11989,2018,01,09,12,20
Chilcoot Fire,2017,08,06,15,32,1020,-120.1397,39.75371,2018,01,09,12,20
Poslin Fire,2017,08,06,19,52,859,-120.066,39.888,2018,01,09,12,21
Reed Fire,2017,08,07,14,14,92,-116.8247,33.57139,2018,01,09,12,23
Young Fire,2017,08,07,17,45,3142,-123.676,41.853,2018,01,09,12,26
Country Fire,2017,08,07,18,08,82,-120.64584,35.86596,2018,01,09,12,27
Ruth Complex,2017,08,07,22,30,4736,-123.36882,40.17598,2018,01,09,12,27
Bottle Fire,2017,08,08,16,40,62,-122.81135,38.94599,2018,01,09,12,28
Rose Fire,2017,08,10,14,32,338,-118.9267,34.92907,2018,01,09,12,31
Paskenta Fire ,2017,08,10,17,24,15,-122.5415,39.87983,2018,01,09,12,31
Canyon Fire,2017,08,11,12,57,114,-122.2483,38.49336,2018,01,09,12,35
Tilton Fire,2017,08,11,14,55,100,-121.68165,37.14653,2018,01,09,12,39
Yankee Fire,2017,08,11,16,06,775,-120.77485,35.7908,2018,01,09,12,36
Ward Fire,2017,08,13,12,41,41,-122.9401,41.99279,2018,01,09,12,38
Nuevo Fire,2017,08,13,13,34,19,-117.124538,33.797216,2018,01,09,12,38
Blaine Fire,2017,08,13,16,10,1500,-117.30819,33.98212,2018,01,09,12,38
Coronado Fire,2017,08,13,16,23,125,-120.30046,37.62823,2018,01,09,12,40
Miller Complex,2017,08,14,14,00,39715,-123.218,42.039,2018,01,09,12,42
South Fork Fire,2017,08,14,14,28,7000,-119.598,37.538,2018,01,09,12,39
Mias Fire,2017,08,14,15,45,600,-116.88066,33.95036,2018,01,09,12,42
Eclipse Complex,2017,08,15,07,55,78698,-123.474,41.841,2018,01,09,12,43
Corner Fire,2017,08,17,14,15,17,-121.5935,40.92602,2018,01,09,12,42
Hills Fire,2017,08,19,16,31,168,-117.00258,33.87679,2018,01,09,12,43
Beale Fire,2017,08,20,14,44,867,-121.32957,39.1234,2018,01,09,12,43
Toll Fire,2017,08,20,16,26,186,-120.89746,39.9864,2018,01,09,12,43
Eclipse Fire,2017,08,21,14,00,200,-116.42907,32.65003,2018,01,09,12,43
Range Fire,2017,08,22,14,00,200,-121.90516,37.72543,2018,01,09,12,44
Juniper Fire,2017,08,23,13,28,31,-120.443545,36.099681,2018,01,09,12,44
I-5 Fire,2017,08,24,18,13,2312,-120.05404,36.05187,2018,01,09,12,44
Montezuma Fire,2017,08,26,11,30,62,-116.46989,33.20988,2018,01,09,12,44
Peg Fire,2017,08,26,12,35,157,-120.48641,40.80968,2018,01,09,12,44
Flat Fire,2017,08,26,14,31,111,-119.43376,36.93332,2018,01,09,12,45
Vestal Fire,2017,08,26,15,03,40,-122.70449,40.29831,2018,01,09,12,45
Bodega Fire,2017,08,27,13,30,18,-122.71998,38.26294,2018,01,09,12,45
Canyon Fire,2017,08,27,14,51,46,-117.3968,33.6444,2018,01,09,12,45
Mines Fire,2017,08,27,17,45,44,-121.56425,37.56181,2018,01,09,12,45
Hill Fire,2017,08,27,18,47,69,-119.28241,36.7279,2018,01,09,12,46
Translator Fire,2017,08,28,08,01,40,-123.63721,41.02705,2018,01,09,12,46
Sandra Fire,2017,08,28,17,06,10,-120.72274,38.34421,2018,01,09,12,46
Bradley Fire,2017,08,28,21,38,54,-122.27499,41.222,2018,01,09,12,46
Bradley Fire,2017,08,28,22,00,54,-122.292,41.222,2018,01,09,12,46
Pier Fire,2017,08,29,08,29,36556,-118.74103,36.15356,2018,01,09,12,47
Railroad Fire,2017,08,29,12,19,12407,-119.64622,37.44663,2018,01,09,12,46
Ponderosa Fire,2017,08,29,13,16,4016,-121.30209,39.57701,2018,08,30,15,27
Mud Fire,2017,08,29,14,36,6042,-120.22215,40.43962,2018,01,09,12,47
Slinkard Fire,2017,08,29,15,15,8925,-119.55425,38.655,2018,01,09,12,47
Owens Fire,2017,08,29,15,39,55,-121.90077,41.99483,2018,01,09,12,47
R-4 Fire,2017,08,30,08,30,18618,-119.93499,40.69573,2018,01,09,12,48
4-4 Fire,2017,08,30,11,38,28,-120.36659,41.4844,2018,01,09,12,48
4-10 Fire,2017,08,30,14,50,27,-120.31814,41.64469,2018,01,09,12,48
Pleasant Fire,2017,08,30,15,38,392,-121.12004,39.34292,2018,01,09,12,48
Coalinga Fire,2017,08,30,16,51,102,-120.32685,36.36113,2018,01,09,12,48
Helena - Fork Fire,2017,08,30,18,00,21846,-123.10003,40.76025,2018,01,09,12,49
Marlborough Fire,2017,08,31,10,13,85,34.015742,117.337331,2018,01,09,12,49
Miller Fire,2017,08,31,13,57,34,-123.64214,40.03697,2018,01,09,12,49
Castaic Fire,2017,08,31,16,32,30,-118.62882,34.52055,2018,03,22,16,34
Border Fire,2017,09,01,04,20,130,-116.76997,32.6001,2018,01,09,12,50
Hopper Fire,2017,09,01,11,21,25,-122.02525,40.71923,2018,01,09,12,49
La Tuna Fire ,2017,09,01,13,26,7194,-118.2674,34.22957,2018,01,09,12,49
Caldwell Fire,2017,09,01,14,37,1319,-118.406,35.76,2018,01,09,12,50
Palmer Fire,2017,09,02,13,33,3800,-117.09984,33.97471,2018,01,09,12,50
Parkfield Fire,2017,09,03,09,23,100,-120.52189,36.09486,2018,01,09,12,51
Mission Fire,2017,09,03,13,06,1037,-119.48067,37.21616,2018,01,09,13,18
Peak Fire,2017,09,03,13,10,680,-119.83556,37.37397,2018,01,09,12,51
Creek Fire,2017,09,03,16,23,1749,-119.941,38.12,2018,01,09,12,50
Margarita Fire,2017,09,03,16,59,120,-120.50886,35.31886,2018,01,09,12,50
Bally Fire,2017,09,03,19,17,100,-121.59899,36.99092,2018,01,09,12,50
Mills File,2017,09,03,20,32,79,-120.9204,40.13278,2018,01,09,13,18
Mule Fire,2017,09,05,14,55,21,-122.49327,39.01748,2018,01,09,13,19
Eureka Fire,2017,09,05,18,38,2575,-120.75485,39.75312,2018,01,09,13,18
Rattlesnake Fire,2017,09,07,15,00,0,-119.78256,37.73596,2018,01,09,13,19
Border 9 Fire,2017,09,07,15,41,25,-116.61609,32.59252,2018,01,09,13,19
Ellie Fire,2017,09,10,13,49,34,-117.33364,33.73547,2018,01,09,13,19
Berry Fire,2017,09,11,06,58,900,-121.81623,40.98352,2018,01,09,13,21
Shaver Fire,2017,09,11,10,00,10,-119.32109,37.10067,2018,01,09,13,19
Pine Fire,2017,09,11,15,11,43,-120.87609,36.17297,2018,01,09,13,19
Skeggs Fire,2017,09,11,19,41,50,-122.3001,37.41591,2018,01,09,13,20
Hole Fire,2017,09,12,12,45,40,-124.01168,41.98128,2018,01,09,13,20
Skeleton Fire,2017,09,12,14,36,200,-122.85194,39.44543,2018,01,09,13,20
Slides Fire,2017,09,12,16,08,58,-123.03344,39.42604,2018,01,09,13,20
Pacific Fire,2017,09,12,17,24,12,-121.60683,39.44257,2018,01,09,13,21
Buck Fire,2017,09,12,17,42,13417,-123.03583,40.2275,2018,01,09,13,21
French Fire,2017,09,17,15,18,136,-120.915,38.5758,2018,01,09,13,21
Eastman Fire,2017,09,18,16,04,483,-120.015509,37.14624,2018,01,09,13,21
Table Fire,2017,09,19,00,22,39,-120.504134,37.896778,2018,03,26,10,49
Grape Fire,2017,09,19,13,02,146,-123.1362,39.02482,2018,01,09,13,22
Corral Fire,2017,09,19,14,05,155,-121.49925,37.63358,2018,04,05,10,48
Murphy Fire,2017,09,19,19,47,237,-120.31598,36.24653,2018,01,09,13,23
Huasna Fire,2017,09,20,13,41,245,-120.39387,35.12269,2018,01,09,13,23
Dexter Fire,2017,09,20,14,53,10,-120.15846,37.76888,2018,01,09,13,23
Power Fire,2017,09,20,21,07,48,-120.90462,36.94652,2018,01,09,13,23
Estate Fire,2017,09,23,11,05,55,-122.0041,38.4446,2018,01,09,13,23
Cove Fire,2017,09,23,15,40,25,-121.04445,35.76343,2018,01,09,13,23
32 Fire,2017,09,25,11,03,28,-121.7127,39.8255,2018,01,09,13,24
Canyon Fire,2017,09,25,13,03,2662,-117.68598,33.8668,2018,03,28,11,36
Edwards Fire,2017,09,26,12,22,22,-122.169,37.77982,2018,01,09,13,25
Jasper Fire,2017,09,26,15,20,26,-121.40947,39.03168,2018,01,09,13,25
Poly Fire,2017,09,26,15,30,105,-120.65279,35.3024,2018,01,09,13,26
Linne Fire,2017,09,26,16,45,74,-120.56068,35.5956,2018,01,09,13,26
Lion Fire,2017,09,27,14,00,18900,-118.48555,36.27138,2018,01,09,13,27
Soda Fire,2017,09,28,14,46,143,-121.56858,40.07613,2018,01,09,13,27
Rucker Fire,2017,09,29,14,42,444,-120.4393,34.67403,2018,01,09,13,28
Lakewood Fire,2017,09,29,15,58,40,-118.46734,35.59302,2018,01,09,13,29
Melba Fire,2017,09,29,18,01,35,-117.10301,33.74925,2018,01,09,13,28
Timm Fire,2017,10,02,09,37,100,-121.97233,38.43658,2018,01,09,13,29
Ramblin Fire,2017,10,03,11,44,17,-119.87465,37.41231,2018,01,09,13,29
36 Fire,2017,10,03,16,22,20,-122.24731,40.20077,2018,01,09,13,29
Ridge Fire,2017,10,06,14,38,87,-122.576,39.15016,2018,01,09,13,29
Fort Fire,2017,10,07,20,00,20,-123.24713,38.51937,2018,01,09,13,30
Lobo Fire (Wind Complex),2017,10,08,00,01,821,-121.12792,39.24549,2018,02,09,09,51
Jones Fire,2017,10,08,04,53,40,-122.24199,40.70627,2018,01,09,13,31
Freeway Fire,2017,10,08,12,15,10,-122.255,40.24789,2018,01,09,13,31
Blue Fire,2017,10,08,16,40,20,-123.96844,40.88516,2018,01,09,13,30
Cherokee Fire,2017,10,08,21,45,8500,-121.52966,39.62496,2018,02,09,09,48
Tubbs Fire (Central LNU Complex),2017,10,08,21,45,36807,-122.62879,38.60895,2018,02,09,09,27
Cascade Fire (Wind Complex),2017,10,08,23,03,9989,-121.4021,39.32198,2018,02,09,09,39
Redwood Valley Fire (Mendocino Lake Complex),2017,10,08,23,36,36523,-123.16635,39.24873,2018,02,09,08,56
Partrick Fire (Central LNU Complex),2017,10,08,23,48,8283,-122.39052,38.31802,2018,01,09,13,33
McCourtney Fire (Wind Complex),2017,10,09,00,00,76,-121.08406,39.19325,2018,02,09,09,52
LaPorte Fire (Wind Complex),2017,10,09,00,57,6151,-121.40613,39.39455,2018,02,09,09,50
Point Fire,2017,10,09,01,10,130,-120.52953,38.40234,2018,01,09,13,33
Pressley Fire (Central LNU Complex),2017,10,09,01,30,0,-122.64001,38.36685,2018,01,09,13,34
Pocket Fire (Central LNU Complex),2017,10,09,08,30,17357,-122.90939,38.76549,2018,02,09,09,32
Canyon 2 Fire,2017,10,09,09,51,9217,-117.70975,33.87041,2018,04,05,10,47
37 Fire,2017,10,09,14,00,1660,-122.47301,38.14242,2018,01,09,13,34
Pozo Fire,2017,10,09,14,30,45,-120.44448,35.28738,2018,01,09,13,34
Honey Fire,2017,10,09,15,05,150,-121.67261,39.74679,2018,01,09,13,34
Atlas Fire (Southern LNU Complex),2017,10,09,21,52,51624,-122.24367,38.39206,2018,02,09,09,37
Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),2017,10,09,22,00,44573,-122.5209,38.4041,2018,02,09,09,30
Sulphur Fire (Mendocino Lake Complex),2017,10,09,23,59,2207,-122.64543,39.01387,2018,02,09,09,29
Garden Fire,2017,10,10,12,30,19,-121.13737,39.06414,2018,01,09,13,33
Portola Fire,2017,10,10,14,57,23,-117.02132,33.50488,2018,01,09,13,32
Ice Fire,2017,10,10,15,36,29,-120.46234,38.77921,2018,01,09,13,35
Silver Fire,2017,10,11,15,59,58,-119.2288,36.7528,2018,01,09,13,36
Quarry Fire,2017,10,12,10,42,183,-118.76152,35.19008,2018,01,09,13,36
Lynch Fire,2017,10,13,12,14,73,-120.96514,35.78616,2018,01,09,13,37
Table Fire,2017,10,13,13,16,426,-120.287,38.848,2018,01,09,13,36
Loma Fire,2017,10,13,15,40,81,-117.46709,33.38613,2018,01,09,13,38
Long Fire,2017,10,14,05,00,100,-122.57487,39.0199,2018,01,09,13,38
River Fire,2017,10,14,16,00,148,-123.51619,40.46836,2018,01,09,13,36
Oakmont Fire (Central LNU Complex),2017,10,14,20,35,100,-122.58152,38.46123,2018,04,05,12,01
Wilson Fire,2017,10,15,14,05,25,-116.50897,33.18716,2018,01,09,13,40
York Fire,2017,10,15,14,55,31,-121.80377,36.5858,2018,01,09,13,40
Rolling Fire,2017,10,15,17,11,184,-118.701,35.3091,2018,04,03,10,46
Bear Fire,2017,10,16,22,30,391,-122.07012,37.18356,2018,01,09,13,41
Wilson Fire,2017,10,17,03,43,50,-118.05545,34.22551,2018,01,09,13,40
Buffalo Fire,2017,10,17,10,19,1088,-117.402445,33.402411,2018,01,09,13,41
Fallon Fire,2017,10,17,14,00,116,-121.85663,37.7393,2018,01,09,13,41
Milton Fire,2017,10,18,12,53,13,-120.84748,37.89532,2018,01,09,13,41
Soda Fire,2017,10,20,12,13,21,-120.00353,35.41112,2018,01,09,13,42
Church Fire,2017,10,21,13,04,100,-116.37345,32.64962,2018,01,09,13,41
Extension Fire,2017,10,23,10,31,50,-117.00589,33.8826,2018,01,09,13,42
Freeway Fire,2017,10,24,10,27,40,-117.4982,34.13534,2018,01,09,13,45
Vista Fire,2017,10,24,14,44,86,-119.30918,34.34949,2018,01,09,13,45
Tank Fire,2017,10,26,11,55,50,-118.56578,35.21556,2018,01,09,13,45
Wildomar Fire,2017,10,26,12,34,866,-117.34192,33.60247,2018,01,09,13,45
Tehama Fire,2017,10,26,20,00,194,-121.91425,40.02261,2018,01,09,13,46
 Bridge Fire,2017,10,31,11,22,37,-122.309,40.774,2018,01,09,13,46
Roser Fire,2017,11,02,14,40,43,-122.28165,39.81517,2018,01,09,13,46
Chris Fire,2017,11,13,11,28,370,-119.48284,38.46111,2018,01,09,13,46
Palm Fire,2017,11,14,16,11,40,-116.50151,33.90327,2018,01,09,13,46
Bitterwater Fire,2017,11,25,16,46,47,-121.00391,36.38109,2018,01,09,13,46
Oak Fire,2017,11,29,12,19,99,-116.940661,34.035344,2018,01,09,13,46
Riverdale Fire,2017,12,04,12,26,40,-117.4764,33.96514,2018,01,09,13,47
Thomas Fire,2017,12,04,18,28,281893,-119.09124,34.41521,2018,01,12,11,24
Creek Fire,2017,12,05,03,44,15619,-118.35863,34.31283,2018,08,06,10,52
Rye Fire,2017,12,05,11,31,6049,-118.58188,34.45283,2018,01,18,09,58
Meyers Fire,2017,12,05,13,28,34,-117.40625,34.21829,2018,01,09,13,47
Little Mountain Fire,2017,12,05,13,35,260,-117.33334,34.16564,2018,01,09,13,47
Skirball Fire,2017,12,06,06,31,422,-118.48178,34.09454,2018,01,23,08,11
Lilac Fire,2017,12,07,11,15,4088,-117.163,33.3237,2018,01,09,13,47
Liberty Fire,2017,12,07,13,14,300,-117.14979,33.59257,2018,01,09,13,47
Longhorn Fire,2017,12,13,15,27,19,-116.91023,33.88994,2018,01,09,13,49
Coast Fire,2017,12,14,12,59,14,-120.414875,34.605358,2018,01,09,13,49
Drum Fire,2017,12,16,12,21,14,-120.27077,34.71796,2018,01,09,13,49
Riverbottom Fire,2017,12,21,11,16,45,-117.38417,33.9885,2018,01,09,13,49
Holiday Fire,2017,12,28,20,51,80,-119.61865,38.869036,2018,01,09,13,49
Haycamp Fire,2018,02,07,15,53,50,-121.28185,35.96689,2019,01,03,09,43
Pleasant Fire,2018,02,18,14,12,2070,-118.50235,37.40208,2019,01,03,09,43
Santa Cruz Fire,2018,03,27,14,45,258,-119.76576,34.0232,2019,01,03,09,44
Rock Fire,2018,03,27,16,20,11,-121.77419,40.4635,2019,01,03,09,45
Meadow Fire,2018,04,09,18,18,21,-117.48144,33.86439,2019,01,03,09,46
Aqueduct Fire,2018,04,12,14,30,30,-119.94083,35.92436,2019,01,03,09,46
Tyler Fire,2018,04,15,04,38,15,-116.164058,33.711263,2019,01,03,09,46
Moffat Fire,2018,04,19,10,28,1065,-118.08449,36.71537,2019,01,03,13,09
Lago Fire,2018,04,22,13,35,18,-117.16232,33.88744,2019,01,03,13,10
Grape Fire,2018,04,24,16,59,0,-123.55012,40.70258,2019,01,03,15,23
French Fire,2018,04,26,15,00,20,-120.18499,39.89075,2019,01,04,10,27
Main Fire,2018,04,28,14,26,73,-117.32281,33.67815,2019,01,04,10,26
Nees Fire,2018,05,02,16,00,1756,-120.77206,36.85156,2019,01,04,10,26
Alpha Fire,2018,05,04,11,44,300,-117.502405,33.389425,2019,01,04,10,26
Tornado Fire,2018,05,04,14,48,70,-117.148204,33.504964,2019,01,04,10,26
Woodchuck Fire,2018,05,04,18,53,15,-117.003829,33.467999,2019,01,04,10,26
Shastina Fire,2018,05,09,18,11,127,-122.48556,41.65935,2019,01,04,10,25
Jacques Fire,2018,05,09,22,00,18,-117.27467,33.40178,2019,01,04,10,26
Volcan Fire,2018,05,10,20,41,12,-116.58759,33.12213,2019,01,04,10,25
Grant Fire,2018,05,14,13,06,12,-121.6039,37.73835,2019,01,04,10,25
Happy Fire,2018,05,17,12,53,60,-120.18236,34.74245,2019,01,04,10,25
Patterson Fire,2018,05,17,14,19,1261,-117.05992,33.62924,2019,01,04,10,24
White Fire,2018,05,18,11,00,26,-118.9821,35.826333,2019,01,04,10,24
Jelly Fire,2018,05,18,16,37,103,-122.21032,40.31759,2019,01,04,10,24
Ager Fire,2018,05,19,13,04,27,-122.513883,41.791859,2019,01,04,10,24
Plaza Fire,2018,05,20,13,07,88,-121.01638,37.056944,2019,01,04,10,24
Bellagio Fire,2018,05,21,11,56,12,-122.23059,38.16303,2019,01,04,10,23
Agua Fire,2018,05,22,14,13,59,-117.03134,33.35505,2019,01,04,10,23
Experimental Fire,2018,05,23,14,30,56,-119.75307,37.0979,2019,01,04,10,23
Water Fire,2018,05,24,10,43,100,-120.12441,35.56922,2019,01,04,10,22
Cobble Fire,2018,05,26,14,52,108,-119.42172,36.75581,2019,01,04,10,22
Keeler Fire,2018,05,27,17,05,16,-121.76828,37.21803,2019,01,04,10,22
70th Fire,2018,05,28,07,23,10,-116.10231,33.53924,2019,01,04,10,21
Chrome Fire,2018,05,28,17,33,75,-122.58666,39.65578,2019,01,04,10,21
Stuhr Fire,2018,05,29,12,58,63,-121.10903,37.32744,2019,01,04,10,21
Vineyard Fire,2018,05,29,13,11,25,-120.64028,35.71859,2019,01,04,10,20
Grant Fire,2018,05,30,13,21,484,-121.57918,37.75375,2019,01,04,10,20
Madison FIre,2018,06,01,13,31,14,-122.01762,38.64953,2019,01,04,10,20
Open Fire,2018,06,01,15,20,127,-122.65582,39.46543,2019,01,04,10,19
Plymire Fire,2018,06,01,16,07,23,-122.29388,40.201826,2019,01,04,10,19
Coldwell Fire,2018,06,02,09,55,13,-120.55324,36.10499,2019,01,04,10,18
Glen Fire,2018,06,02,12,42,23,-121.86473,37.99113,2019,01,04,10,19
Aliso Fire,2018,06,02,13,07,175,-117.72044,33.55132,2019,01,04,10,19
Jardin Fire,2018,06,02,15,53,10,-117.22215,33.45014,2019,01,04,10,18
Black Fire,2018,06,03,08,55,10,-122.3307,39.80827,2019,01,04,10,18
Grande Fire,2018,06,03,13,38,11,-117.31468,33.47413,2019,01,04,10,18
Ethanac Fire,2018,06,03,14,17,17,-117.28189,33.742,2019,01,04,10,17
Fairview Fire,2018,06,03,15,09,35,-121.36446,36.83036,2019,01,04,10,17
Resort Fire,2018,06,03,16,11,12,-120.91793,35.75737,2019,01,04,10,17
Martin Fire,2018,06,03,16,14,37,-122.33769,41.58233,2019,01,04,10,17
Adobe Fire,2018,06,03,16,16,38,-117.06782,32.78031,2019,01,04,10,16
Green Fire,2018,06,03,18,23,10,-116.92404,32.75072,2019,01,04,10,16
Stone Fire,2018,06,04,12,40,1352,-118.31138,34.5486,2019,01,04,10,15
Meamber Fire,2018,06,04,15,08,12,-122.98442,41.64805,2019,01,04,10,13
Airline Fire,2018,06,04,17,01,1314,-120.99322,36.40755,2019,01,04,10,15
Eastern Fire,2018,06,04,17,30,513,-120.901167,36.378333,2019,01,04,10,14
